"Date","Year","Month","Time","Hour","Street1","Street2","AtFault","SecondVehicle","Fatalities","Violation","HitRun","County","City","Lighting","RoadSurface","Injured"
"2009-12-25","2009","December","12:02",12,"John F Kennedy Dr","Chain Of Lakes Dr","Bicyclist","Auto",0,"Traffic Signals And Signs",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-25","2009","December","10:45",10,"Edes Av","98th Av","Auto","Bicyclist",0,"Unsafe Starting Or Breaking",TRUE,"Alameda","Oakland","Daylight","Dry",0
"2009-12-24","2009","December","21:25",21,"Alvarado St","Marina Bl","Auto","Bicyclist",0,"Driving Or Bycicling Under The Influence Of Alcohol Or Drug",TRUE,"Alameda","San Leandro","Dark - Street Lights","Dry",1
"2009-12-24","2009","December","15:45",15,"Bancroft Av","Auseon Av","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"Alameda","Oakland","Daylight","Dry",1
"2009-12-24","2009","December","13:00",13,"El Camino Real","Taylor Bl","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"San Mateo","Millbrae","Daylight","Dry",1
"2009-12-24","2009","December","10:24",10,"Bancroft Wy","Telegraph Av","No_Fault","Bicyclist",0,"Other Than Driver (Or Pedestrian)",FALSE,"Alameda","Berkely","Daylight","Dry",1
"2009-12-24","2009","December","10:18",10,"Hopyard Rd","Meadowwood Ct","Auto","Bicyclist",0,"Other Hazardous Violation",FALSE,"Alameda","Pleasanton","Daylight","Dry",1
"2009-12-23","2009","December","16:05",16,"Middlefield Rd","Seminary Dr","Bicyclist","Auto",0,"Automobile Right Of Way",FALSE,"San Mateo","Menlo Park","Daylight","Dry",1
"2009-12-23","2009","December","15:55",15,"40th St","Yerba Buena Av","Parked_Auto","Bicyclist",0,"",FALSE,"Alameda","Oakland","Daylight","Dry",0
"2009-12-23","2009","December","15:55",15,"Rt 1","Higgins Canyon Rd","Bicyclist","Auto",0,"Automobile Right Of Way",FALSE,"San Mateo","Half Moon Bay","Daylight","Dry",0
"2009-12-23","2009","December","11:23",11,"Santa Teresa","Great Oaks Bl","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Santa Clara","San Jose","Daylight","Dry",1
"2009-12-23","2009","December","9:16",9,"Market St","15th St","Auto","Bicyclist",0,"Improper Turning",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-23","2009","December","0:30",0,"Polk St","Pine St","Auto","Bicyclist",0,"Improper Turning",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Dry",1
"2009-12-22","2009","December","16:00",16,"White Rd","Cunningham","No_Fault","Bicyclist",0,"",TRUE,"Santa Clara","San Jose","Daylight","",1
"2009-12-22","2009","December","14:37",14,"Norfolk St","Shoreview Av","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"San Mateo","San Mateo","Daylight","Dry",1
"2009-12-22","2009","December","10:48",10,"Polk St","Hayes St","Bicyclist","Auto",0,"Traffic Signals And Signs",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-22","2009","December","9:50",9,"Stanford Av","Vineyard Av","No_Fault","Bicyclist",0,"Other Than Driver (Or Pedestrian)",FALSE,"Alameda","Fremont","Daylight","Dry",1
"2009-12-22","2009","December","8:21",8,"Bridgeway","Light Standard Pole 316y","Solo_Accident","Bicyclist",0,"Unsafe Speed",FALSE,"Marin","Sausalito","Daylight","Dry",1
"2009-12-21","2009","December","14:20",14,"Waverley St","Oregon Av","Auto","Bicyclist",0,"Unsafe Speed",FALSE,"Santa Clara","Palo Alto","Daylight","Wet",1
"2009-12-21","2009","December","11:26",11,"Princeton St","College Av","Bicyclist","Auto",0,"Other Hazardous Violation",FALSE,"Santa Clara","Palo Alto","Daylight","Wet",1
"2009-12-21","2009","December","5:47",5,"Hollis St","62nd St","Bicyclist","Auto",0,"Automobile Right Of Way",FALSE,"Alameda","Emeryville","Dark - Street Lights","Wet",1
"2009-12-20","2009","December","16:07",16,"Wolfe Rd","Iris Av","Auto","Bicyclist",0,"Other Hazardous Violation",FALSE,"Santa Clara","Sunnyvale","Daylight","Dry",1
"2009-12-20","2009","December","7:45",7,"Castro St","Market St","No_Fault","Bicyclist",0,"Unknown",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-20","2009","December","5:37",5,"Saratoga Sunnyvale Rd","Blauer Dr","No_Fault","Bicyclist",0,"",FALSE,"Santa Clara","Saratoga","Dark - Street Lights","Wet",1
"2009-12-19","2009","December","17:47",17,"Rt 92","Rt 1","Bicyclist","Auto",0,"Improper Turning",FALSE,"San Mateo","Half Moon Bay","Dark - Street Lights","Wet",1
"2009-12-19","2009","December","16:40",16,"Polk St","Geary Bl","No_Fault","Bicyclist",0,"Automobile Right Of Way",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-19","2009","December","13:59",13,"Lincoln Av","Linden Ln","Bicyclist","Auto",0,"Unsafe Speed",FALSE,"Marin","San Raphael","Daylight","Dry",1
"2009-12-19","2009","December","12:11",12,"West Edith Av","4th St","No_Fault","Bicyclist",0,"Unknown",FALSE,"Santa Clara","Los Altos","Daylight","Dry",1
"2009-12-19","2009","December","10:10",10,"Pierce Rd","Teerlink Wy","No_Fault","Bicyclist",0,"Unknown",FALSE,"Santa Clara","Saratoga","Daylight","Dry",1
"2009-12-19","2009","December","7:59",7,"Mountain Bl","Medau","Auto","Bicyclist",0,"Other Hazardous Violation",FALSE,"Alameda","Oakland","Daylight","Dry",1
"2009-12-18","2009","December","22:27",22,"Noe St","Market St","Solo_Accident","Bicyclist",0,"Unsafe Speed",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Dry",1
"2009-12-18","2009","December","19:18",19,"8th St","Poplar Ct","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Alameda","Oakland","Dark - Street Lights","Dry",0
"2009-12-18","2009","December","17:55",17,"Occidintal Rd","Stony Point Rd","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Sonoma","Santa Rose","Dark - Street Lights","Dry",1
"2009-12-18","2009","December","17:09",17,"Woodhaven Dr","White Rd","No_Fault","Bicyclist",0,"",TRUE,"Santa Clara","San Jose","","",1
"2009-12-18","2009","December","16:22",16,"13th St","Visalia Av","Auto","Bicyclist",0,"Traffic Signals And Signs",TRUE,"Contra Costa","Richmond","Daylight","Dry",1
"2009-12-18","2009","December","16:10",16,"67th Av","Arthur St","Bicyclist","Auto",0,"Improper Turning",FALSE,"Alameda","Oakland","Daylight","Dry",1
"2009-12-18","2009","December","7:41",7,"Embarcadero Rd","Rt 82","Bicyclist","Bicyclist",0,"Wrong Side Of Road",FALSE,"Santa Clara","Palo Alto","Dusk - Dawn","Dry",2
"2009-12-18","2009","December","6:14",6,"Hillsdale Bl","Rt 101","Auto","Bicyclist",1,"Unsafe Speed",FALSE,"San Mateo","San Mateo","Dark - Street Lights","Dry",0
"2009-12-17","2009","December","23:53",23,"Leavenworth St","Turk Bl","Bicyclist","Auto",0,"Other Hazardous Violation",TRUE,"San Francisco","San Francisco","Dark - Street Lights","Dry",1
"2009-12-17","2009","December","21:30",21,"6th St","University Av","No_Fault","Bicyclist",0,"Wrong Side Of Road",TRUE,"Alameda","Berkely","Dark - Street Lights","Dry",1
"2009-12-17","2009","December","21:20",21,"Hyde St","Mcallister St","Bicyclist","Auto",0,"Improper Turning",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Dry",1
"2009-12-17","2009","December","19:31",19,"Keesling Av","Meridian Av","Bicyclist","Auto",0,"Other Hazardous Violation",FALSE,"Santa Clara","San Jose","Dark - Street Lights","Dry",1
"2009-12-17","2009","December","15:23",15,"Piedmont Rd","Berryessa Rd","Bicyclist","Auto",0,"",FALSE,"Santa Clara","San Jose","","",1
"2009-12-17","2009","December","15:01",15,"Felton St","Bowdoin St","Auto","Bicyclist",0,"Unsafe Speed",TRUE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-17","2009","December","13:48",13,"Tennessee St","Mariposa St","Bicyclist","Auto",0,"Traffic Signals And Signs",TRUE,"Solano","Vallejo","Daylight","Dry",1
"2009-12-17","2009","December","13:18",13,"Market St","New Montgomery St","Bicyclist","Auto",0,"Improper Passing",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-17","2009","December","8:58",8,"Old Sonoma Rd","Cherryview Ct","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"Napa","Napa","Daylight","Dry",1
"2009-12-17","2009","December","6:48",6,"Dewey Bl","Montalvo Av","Bicyclist","Parked_Auto",0,"Unsafe Speed",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Wet",1
"2009-12-17","2009","December","6:45",6,"Mount Vernon Av","Mission St","Auto","Bicyclist",0,"Improper Turning",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Dry",1
"2009-12-16","2009","December","23:59",23,"Lone Tree Wy","Lone Tree Landing","Auto","Bicyclist",0,"Improper Turning",FALSE,"Contra Costa","Antioch","Dark - Street Lights","Dry",1
"2009-12-16","2009","December","14:59",14,"King St","Rt 13","Bicyclist","Auto",0,"Automobile Right Of Way",FALSE,"Alameda","Berkely","Daylight","Dry",1
"2009-12-16","2009","December","8:19",8,"University Av","Blossom Hill Rd","Auto","Bicyclist",0,"Improper Turning",FALSE,"Santa Clara","Los Gatos","Daylight","Wet",1
"2009-12-15","2009","December","21:01",21,"North Texas St","Marigold Dr","Bicyclist","Auto",0,"Traffic Signals And Signs",FALSE,"Solano","Fairfield","Dark - Street Lights","Dry",1
"2009-12-15","2009","December","18:26",18,"Oak St","Central Av","Bicyclist","Auto",0,"Improper Passing",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Dry",1
"2009-12-15","2009","December","18:00",18,"West Grand Av","Telegraph Av","Auto","Bicyclist",0,"Other Hazardous Violation",FALSE,"Alameda","Oakland","Dark - Street Lights","Dry",1
"2009-12-15","2009","December","11:40",11,"Camino Hermoso Dr","Magdalena Av","Solo_Accident","Bicyclist",0,"Unsafe Speed",FALSE,"Santa Clara","Los Altos Hills","Daylight","Wet",1
"2009-12-15","2009","December","9:32",9,"23rd Av","Foothill Bl","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"Alameda","Oakland","Daylight","Dry",0
"2009-12-15","2009","December","9:01",9,"22nd St","Mission St","Bicyclist","Pedestrian",0,"Unsafe Speed",TRUE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-15","2009","December","8:13",8,"Nueva Av","Woodside Rd","Bicyclist","Auto",0,"Pedestrian Right Of Way",FALSE,"San Mateo","Redwood City","Daylight","Dry",1
"2009-12-15","2009","December","8:05",8,"Bachmann Ct","Massol Av","Solo_Accident","Bicyclist",0,"Unsafe Speed",FALSE,"Santa Clara","Los Gatos","Daylight","Wet",1
"2009-12-14","2009","December","19:10",19,"Kern Av","1st St","Bicyclist","Auto",0,"Driving Or Bycicling Under The Influence Of Alcohol Or Drug",FALSE,"Santa Clara","Gilroy","Dusk - Dawn","Dry",1
"2009-12-14","2009","December","17:30",17,"Hillegass Av","Rt 13","Auto","Bicyclist",0,"Improper Turning",FALSE,"Alameda","Berkely","Dark - Street Lights","Dry",1
"2009-12-14","2009","December","17:13",17,"Alameda De Las Pulgas","Walsh Rd","Auto","Bicyclist",0,"Improper Turning",FALSE,"San Mateo","Antherton","Dark - Street Lights","Dry",1
"2009-12-14","2009","December","15:39",15,"Telegraph Av","66th St","Auto","Bicyclist",0,"Other Hazardous Violation",FALSE,"Alameda","Oakland","Daylight","Dry",1
"2009-12-14","2009","December","15:35",15,"Rt 280","Saratoga Av","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"Santa Clara","San Jose","Daylight","Dry",1
"2009-12-14","2009","December","15:13",15,"San Jose Dr","Buchanan Rd","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Contra Costa","Antioch","Daylight","Dry",1
"2009-12-14","2009","December","14:56",14,"Bubb Rd","Shannon Ct","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"Santa Clara","Cupertino","Daylight","Dry",1
"2009-12-14","2009","December","11:05",11,"Middlefield Rd","Old Middlefield Wy","No_Fault","Bicyclist",0,"Unknown",FALSE,"Santa Clara","Mountain View","Daylight","Dry",1
"2009-12-14","2009","December","7:59",7,"Martin Luther King Wy","Berryman St","Solo_Accident","Bicyclist",0,"Improper Turning",FALSE,"Alameda","Berkely","Daylight","Wet",1
"2009-12-13","2009","December","12:20",12,"Canada Rd","Rt 280","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"San Mateo","San Mateo Sheriff's Code","Daylight","Wet",1
"2009-12-12","2009","December","19:48",19,"Dutton Av","Sebastopol Rd","Auto","Bicyclist",0,"Automobile Right Of Way",TRUE,"Sonoma","Santa Rose","Dark - Street Lights","Wet",1
"2009-12-12","2009","December","14:20",14,"Market St","New Montgomery St","Pedestrian","Bicyclist",0,"Pedestrian Violation",FALSE,"San Francisco","San Francisco","Daylight","Wet",1
"2009-12-12","2009","December","11:52",11,"Milvia St","Parker St","No_Fault","Bicyclist",0,"Unknown",FALSE,"Alameda","Berkely","Dark - Street Lights","Wet",1
"2009-12-11","2009","December","22:49",22,"10th Av","Cabrillo St","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Wet",1
"2009-12-11","2009","December","21:45",21,"Evelyn Av","View St","No_Fault","Bicyclist",0,"Unknown",TRUE,"Santa Clara","Mountain View","Dark - Street Lights","Wet",1
"2009-12-11","2009","December","17:28",17,"Elmira Rd","Nut Tree Rd","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Solano","Vacaville","Dark - Street Lights","Wet",1
"2009-12-11","2009","December","13:09",13,"Telegraph Av","51st St","No_Fault","Bicyclist",0,"Other Than Driver (Or Pedestrian)",FALSE,"Alameda","Oakland","Daylight","Wet",0
"2009-12-11","2009","December","12:35",12,"Alcatraz Av","Raymond St","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"Alameda","Oakland","Daylight","Wet",1
"2009-12-11","2009","December","6:12",6,"Hearst Av","California","Auto","Bicyclist",0,"Traffic Signals And Signs",TRUE,"Alameda","Berkely","Dark - Street Lights","Wet",0
"2009-12-10","2009","December","22:08",22,"Columbus Av","Green St","Other","Bicyclist",0,"Other Hazardous Violation",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Wet",1
"2009-12-10","2009","December","17:17",17,"Sebastopol Rd","Corporate Center  Pkwy","Bicyclist","Auto",0,"Improper Turning",FALSE,"Sonoma","Santa Rose","Dark - Street Lights","Wet",1
"2009-12-10","2009","December","15:17",15,"Rt 29","Stutz Aly","Bicyclist","Auto",0,"Automobile Right Of Way",FALSE,"Solano","Vallejo","Daylight","Dry",1
"2009-12-10","2009","December","13:57",13,"East Washington St","Sonoma Mountain  Pkwy","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Sonoma","Petaluma","Daylight","Dry",1
"2009-12-10","2009","December","8:07",8,"Jackson St","Myrtle St","Bicyclist","Auto",0,"Improper Turning",FALSE,"Alameda","Hayward","Daylight","Dry",1
"2009-12-10","2009","December","6:29",6,"Trimble Rd","N 1st St","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Santa Clara","San Jose","Dark - Street Lights","Wet",1
"2009-12-09","2009","December","17:52",17,"Tilden Wy","Fernside Dr","No_Fault","Bicyclist",0,"Unknown",FALSE,"Alameda","Alameda","Dark - Street Lights","Dry",2
"2009-12-09","2009","December","17:30",17,"Greenwood Rd","Alameda Dr","No_Fault","Bicyclist",0,"",FALSE,"Alameda","Pleasanton","Dark - Street Lights","Dry",1
"2009-12-09","2009","December","17:18",17,"Sunnyvale Saratoga Rd","Cheyenne Dr","Auto","Bicyclist",0,"Improper Turning",TRUE,"Santa Clara","Sunnyvale","Dark - Street Lights","Dry",1
"2009-12-09","2009","December","15:13",15,"Redwood Dr","Martin Av","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Sonoma","Rohnert Park","Daylight","Dry",1
"2009-12-09","2009","December","15:00",15,"Port Chicago Hwy","Olivera Rd","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Contra Costa","Concord","Daylight","Dry",1
"2009-12-09","2009","December","13:51",13,"East Tabor Av","Olive Av","Auto","Bicyclist",0,"Improper Turning",FALSE,"Solano","Fairfield","Daylight","Dry",2
"2009-12-09","2009","December","10:03",10,"A St","20th St","Auto","Bicyclist",0,"Other Hazardous Violation",FALSE,"Contra Costa","Antioch","Daylight","Dry",1
"2009-12-09","2009","December","9:55",9,"Market St","3rd St","Pedestrian","Bicyclist",0,"Pedestrian Violation",FALSE,"San Francisco","San Francisco","Daylight","Dry",2
"2009-12-09","2009","December","9:17",9,"Font Bl","Tapia Dr","Auto","Bicyclist",0,"Improper Turning",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-09","2009","December","8:18",8,"E San Antonio St","Oakland Av","Auto","Bicyclist",0,"Unsafe Speed",FALSE,"Santa Clara","San Jose","Daylight","Dry",1
"2009-12-08","2009","December","17:55",17,"Washington Av","Via Enrico","Auto","Bicyclist",0,"Driving Or Bycicling Under The Influence Of Alcohol Or Drug",FALSE,"Alameda","Alameda Sheriff's Code","Dark - Street Lights","Dry",1
"2009-12-08","2009","December","12:10",12,"Townsend St","5th Av","Auto","Bicyclist",0,"Improper Turning",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-07","2009","December","19:41",19,"Grapevine Dr","Vineyard Av","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"Alameda","Pleasanton","Dark - Street Lights","Dry",1
"2009-12-07","2009","December","16:06",16,"Contra Costa Bl","Chilpancingo Pkwy","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Contra Costa","Pleasant Hill","Daylight","Dry",1
"2009-12-07","2009","December","14:55",14,"Redwood Av","Lexington Dr","Bicyclist","Pedestrian",0,"Wrong Side Of Road",FALSE,"Santa Clara","Milpitas","Daylight","Dry",1
"2009-12-07","2009","December","9:39",9,"Saratoga","San Tomas Expwy","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Santa Clara","Santa Clara","Daylight","Wet",1
"2009-12-06","2009","December","18:04",18,"Stanyan","Oak St","Auto","Bicyclist",0,"Improper Passing",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Wet",1
"2009-12-06","2009","December","12:43",12,"Taylor St","Market St","Auto","Bicyclist",0,"Other Hazardous Violation",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-06","2009","December","11:23",11,"Scott St","Haight St","Bicyclist","Auto",0,"Unsafe Speed",TRUE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-05","2009","December","23:23",23,"Broadway","27th St","Bicyclist","Auto",0,"Traffic Signals And Signs",FALSE,"Alameda","Oakland","Dark - Street Lights","Dry",1
"2009-12-05","2009","December","15:04",15,"Adeline St","Alcatraz Av","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"Alameda","Berkely","Daylight","Dry",1
"2009-12-05","2009","December","13:13",13,"Union St","Fillmore St","Bicyclist","Auto",0,"Traffic Signals And Signs",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-05","2009","December","11:38",11,"Adams Av","Whitney St","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Alameda","San Leandro","Daylight","Dry",1
"2009-12-04","2009","December","22:21",22,"Santa Clara","22nd St","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"Santa Clara","San Jose","Dark - Street Lights","Dry",1
"2009-12-04","2009","December","21:40",21,"Parker Av","Turk Bl","Auto","Bicyclist",0,"Improper Turning",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Dry",1
"2009-12-04","2009","December","20:40",20,"Geary Bl","Divisadero St","Bicyclist","Auto",0,"Automobile Right Of Way",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Dry",1
"2009-12-04","2009","December","19:13",19,"Cortland Av","Coleridge St","Pedestrian","Bicyclist",0,"",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Dry",2
"2009-12-04","2009","December","18:30",18,"Escuela","El Camino Real","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Santa Clara","Mountain View","Dark - Street Lights","Dry",0
"2009-12-04","2009","December","15:00",15,"Wilkie Wy","Tennessee Ln","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"Santa Clara","Palo Alto","Daylight","Dry",1
"2009-12-04","2009","December","14:35",14,"Market St","5th St","No_Fault","Bicyclist",0,"Other Than Driver (Or Pedestrian)",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-04","2009","December","14:00",14,"Market St","Cyril Magnin St","Auto","Bicyclist",0,"Improper Turning",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-04","2009","December","6:54",6,"King Rd","Las Plumas Av","Auto","Bicyclist",0,"Pedestrian Right Of Way",FALSE,"Santa Clara","San Jose","Daylight","Dry",1
"2009-12-03","2009","December","20:15",20,"Derby St","Ellsworth St","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"Alameda","Berkely","Dark - Street Lights","Dry",1
"2009-12-03","2009","December","18:31",18,"San Pablo Av","60th St","Bicyclist","Auto",0,"Unsafe Speed",TRUE,"Alameda","Oakland","Dusk - Dawn","Dry",0
"2009-12-03","2009","December","17:41",17,"Church St","14th St","No_Fault","Bicyclist",0,"",FALSE,"San Francisco","San Francisco","Dark - Street Lights","Dry",1
"2009-12-03","2009","December","17:25",17,"West Macarthur Bl","West St","Auto","Bicyclist",0,"Other Hazardous Violation",FALSE,"Alameda","Oakland","Daylight","Dry",1
"2009-12-03","2009","December","17:20",17,"2nd St","Stevenson St","Auto","Bicyclist",0,"Wrong Side Of Road",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-03","2009","December","17:17",17,"Franquette Av","Hoen Av","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Sonoma","Santa Rose","Dark - Street Lights","Dry",1
"2009-12-03","2009","December","17:15",17,"Rt 1","Virginia Av","Bicyclist","Auto",0,"Automobile Right Of Way",FALSE,"San Mateo","San Mateo Sheriff's Code","Dark - No Street Lights","",1
"2009-12-03","2009","December","16:41",16,"San Jose Av","Oak St","No_Fault","Bicyclist",0,"Unknown",FALSE,"Alameda","Alameda","Daylight","Dry",0
"2009-12-03","2009","December","16:17",16,"Market St","15th St","Auto","Bicyclist",0,"Improper Turning",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-03","2009","December","16:10",16,"16th St","Owens St","Auto","Bicyclist",0,"Improper Turning",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-03","2009","December","15:08",15,"Stockton St","Pacific Av","Bicyclist","Pedestrian",0,"Traffic Signals And Signs",FALSE,"San Francisco","San Francisco","Daylight","Dry",1
"2009-12-03","2009","December","14:00",14,"N 13th St","Santa Clara St","No_Fault","Bicyclist",0,"",FALSE,"Santa Clara","San Jose","Daylight","Dry",1
"2009-12-03","2009","December","13:15",13,"9th St","Jones St","Solo_Accident","Bicyclist",0,"Improper Turning",FALSE,"Alameda","Berkely","Daylight","Dry",1
"2009-12-03","2009","December","12:31",12,"Rt 82","Fair Oaks Av","Bicyclist","Auto",0,"Wrong Side Of Road",FALSE,"Santa Clara","Sunnyvale","Daylight","Dry",1
"2009-12-03","2009","December","12:04",12,"Branham Ln","Branham Ln","Auto","Bicyclist",0,"Improper Turning",FALSE,"Santa Clara","San Jose","Daylight","Dry",1
"2009-12-03","2009","December","9:54",9,"Story Rd","Signal Pole #12n202","Bicyclist","Auto",0,"Traffic Signals And Signs",FALSE,"Santa Clara","San Jose","Daylight","Dry",1
"2009-12-02","2009","December","18:20",18,"Laguna Honda Bl","Plaza St","Bicyclist","Auto",0,"Traffic Signals And Signs",FALSE,"San Francisco","San Francisco","Dark - Street Lights","",1
"2009-12-02","2009","December","18:09",18,"California St","Oregon St","Auto","Bicyclist",0,"Traffic Signals And Signs",TRUE,"Alameda","Berkely","Dark - Street Lights","Dry",1
"2009-12-02","2009","December","16:03",16,"Dover Av","East Tabor Av","No_Fault","Bicyclist",0,"Unknown",FALSE,"Solano","Fairfield","Dusk - Dawn","Dry",1
"2009-12-02","2009","December","15:23",15,"Castilian Wy","Edinburgh St","Bicyclist","Auto",0,"Traffic Signals And Signs",FALSE,"San Mateo","San Mateo","Daylight","Dry",1
"2009-12-02","2009","December","13:55",13,"Cedar St","Milvia St","Auto","Bicyclist",0,"Automobile Right Of Way",FALSE,"Alameda","Berkely","","",1
